;Comentario
1246;O gpt pode acabar com a humanidade
1247;E seu criar uma música de sucesso a música e minha ou do chat
1248;Chat GPT é muito além do que podemos imaginar, fiz um vídeo utilizando ele para montar uma carteira de investimento diversificada, e ele mostra detalhadamente o por que escolheu cada ativo e suas prioridades, video esta excelente !
1249;Quando Tiago Lima falava diziam que era teoria da conspiração.
1250;A cada 10 perguntas que eu faço ele erra umas 7. A diferença é que ele mente muito bem
1251;Chat Gpt me ajuda muito em desenvolvimento de software... Se eu nao sei se existe tal biblioteca pra utilizar, eu pergunto pra ele kkkk
1252;Já matei a profissão dos vendedores de TCC, a próxima é a sua, bjs
1253;Inteligencia artificial pra lá inteligencia artificial pra cá aonde isso vai dá um bando de malucos com o sinal da besta na testa ou na mão direita...
1254;Sem dúvidas virá o fim, as profecias se cumprem e a marca do anticristo será colocada em execução.
1255;Chat gpt>>>>>>>faculdade de informática
1256;Chatgpt é sensacional para dar idéias, ajuda muito na parte criativa
1257;eu li um livro em 2021 que parece até que estava prevendo umas coisas sobre inteligência artificial, vcs não vão acreditar no que está escrito nele, procurem no kindle pra vcs verem, o nome do livro é Anticristo ou Inteligência Artificial? o subtítulo é Uma explicação tecnológica para uma revelação escatológica. impressionante!
1258;"Descobri o problema no meu carro através do chatGPT, ele apontou o problema a partir dos sintomas que forneci na conversa.
Economizei um diagnóstico profissional que custaria 200 reais, comprei a peça e eu mesmo troquei... problema resolvido!"
1259;ele da aula melhor que muito professor ......
1260;nossa comparar um cérebro humano com uma máquina, bem nada a ver. NÃO EXISTE INTELIGENCIA SEM DADOS? LOL socorro. do que ela ta falando? tanto bla bla bla ? geeeexte
1261;Ai vem a pergunta: Chat GPT estão fazendo as pessoas ficarem mais inteligentes aprendendo com ela ou mais burras pois a pessoa não pensa mais na solução do problema pois a IA te entrega isso pronto?
1262;GPT3? Na darkweb tem o GPT pro  V. Seus tolinhos
1263;Mano eu lembro de um tal de pinto amarelo que lá pras 2010 nos conversava cm ele kkkkk
1264;Próxima parada, Droids... O problema são só os robodogs
1265;Exatamente, uma droga que todos começaram a usar e ficou uma bosta, essas merdas de youtuber ferrando com tudo.
1266;isso é o maior acontecimento da história da humanidade e nao estamos tendo consciência disso.
1267;Revolução tecnológica. Será que vamos chegar na IA autônoma? E se acontecer vai ser perigoso?
1268;Por isso que a pessoa que continua a estudar, ler livros e noticiários, vai saber filtrar o que qualquer A.I tá passando de infos. Eu sou da área de criação, ele ajuda a dar insights mais rápidos do que fazer pesquisas soltas, mas não sabe fazer como um ser humano, não.
1269;SKYNET a caminho hahaha😅😂
1270;Bizarro é o próprio ser humano estar criando seu próprio predador, já é bem nítida a experiencia de que uma raça mais inteligente quando se existe ela domina a outra ... é o que fazemos com os outros animais do planeta.
1271;CARA ACABEI DE POSTAR UM VÍDEO SOBRE UMA IA QUE SE CANDIDATOU A PRESIDÊNCIA NA DINAMARCA🇩🇰 LOUCURA A PARADA TÁ EVOLUINDO MUITO RÁPIDO.
1272;Ela Cris imagem?
1273;Então chat gpt e uma trap, eles já tem nossos dados, agora estão pegando nossa criatividade, o que falta agora ?
1274;"Eu achando que era algum aplicativo de comida. Kkk
Imagina quando o 5G chegar de vez. 😵😵"
1275;Entrevistada top top 🔝
1276;parem de usar espelho, pois suga a alma das pessoas
1277;CHATGPT tem me ajudado na faculdade mano, elon musk e etc n quer que o povo tenha o conhecimento.. espero que só melhorem o chatgpt com novas funções
1278;Essa mulher me assusta.      Será um gpt.   🤔👀
1279;Nenhum professor tá gostando disso.   kkkkk😂
1280;Os professores vão ficar desempregados     kkkkk
1281;É o fim dos professores.  ou até o fim das escolas e faculdades. ,.  tem tudo no. GPT.    kkkk🤣🤣😂
1282;Nem precisa mais de professores.  ,. só ter. GPT.  kkkkkk🤣🤣😂
1283;Parabéns. Qual o nome da entrevistada?
1284;O Chatbot GPT me passou o esquema técnico de um portal dimensional e funcional!!!!
1285;Sei nem onde acessa esse trem. Como faço p acessar?
1286;"Resumindo.
Agora tem uma ia que pensa por você, logo você não precisa pensar mais...
O povo já andava com preguiça de pensar antes do Chat gpt, agora depois do chat gpt então ... Kkkkk
Agora que as pessoas vão ficar burras mesmo!"
1287;O grande problema agora são as inteligências artificiais implantadas nos cérebros das pessoas, e ainda sem autorização das mesmas. Feito com nanotecnologia irradiada. Vide empresas como GE, Vinci, Orteng, Megatox, Ysborg.
1288;o GPT tem mais didática que os professores da minha faculdade
1289;eu acredito mais no chat Bing , do que o Chat GPT .😂😅
1290;Estou escrevendo um livro com ele 👀
1291;Ele responde bem. Mas em 3 dias de uso, o chat já cometeu vários erros na área da Física, da programação, da engenharia civil e da área de investimentos
1292;Queria que o chatgpt não existisse, odeio essa bobagem.
1293;🧠 Aprenda a investir comigo no Brasil e no mundo: https://sard.ink/3N5chC4
1294;Boaaaaa!
1295;Raul....faltou nessa lista a IBM que criou o sistema Watson que hoje é uma IA geradora de IA. Estão vendendo, não só a pá mas a mina toda para outras empresas terem uma IA para chamar de sua.
1296;Eu nasce em Serra Pelada. 🤭🤭
1297;muito bom
1298;Tem os cabos também!!!🤫🤫
1299;"[ A J U D A ! ! ! ] Fala Raul, eu estou com um problema para criar uma conta na isaex porque quando pede um número de celular, tem que ser um número do Brasil e atualmente estou vivendo na Espanha, eu poderia usar o número de algum familiar meu que vive no Brasil, mas preferia usar meu próprio número para esse tipo de coisa. 
O que eu faço?"
1300;Raul nada no brasil pra investir em Ia ?
1301;🐟🐟🐟Com essa tendência de dólar em baixa, quais papeis da bolsa estão menos expostas ao dólar?
1302;🐟🐟🐟Pergunta: Raul, diga-nos por favor algo sobre opções binárias. Parabéns pelo conteúdo ! Abs da Alemanha 🇩🇪
1303;Sou dessa área. Na verdade só a NVIDIA tem forte relevância por causa das placas de vídeo que são fundamentais para o treinamento de modelos de deep learning. Alguns demoram dias pra treinar. E também podem ser encontrados na nuvem com parcerias com a Microsoft, Oracle, amazon, google e etc. As placas da AMD nem se comparam.
1304;🐟🐟🐟🐟Raul grava um vídeo explicando sobre juros compostos nos investimentos usando a calculadora investidor sardinha para mandar para meu irmão to tentando convencer ele a para de gasta dinheiro atoa ao invés de criar uma renda passiva.(ÓTIMO VÍDEO 👍)
1305;Não é só de pá e picareta que se lucra no garimpo, a casa das primas tbm é outra fonte absurda de captação.
1306;Feliz por efetivar 75% de lucro com 800 cotas da pomo3 hoje. Havia comprado a R$ 2,20, a menos de 1 ano, vendi a R$ 3,85.
1307;SMH eh um ótimo semiconductor ETF. Olhem aí
1308;Bom dia Raul, a Barbie, sentada, no ouro kkkkk Vamos 🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟
1309;Maioria dessas empresas  subiram bastante  por conta da mineração,  agora e so ladeira a baixo,  pelos preços  praticados no mercado as vendas estão  caindo cada vez mais!
1310;Excelente tópico, Raul. A Applied Materials (AMAT) também é uma empresa que acho que irá se beneficiar bastante dessa onda de IA. Abração, padrim!
1311;"Sugestão de tema para vídeo:
Como deve ser o ciclo de vida do seu patrimônio?
Pergunta é bem relativa, depende de muita coisa.. mas a ideia é: deve haver um momento em que os aportes param e se passa a usufruir dos rendimentos, depois se passa a gastar o próprio patrimônio... enfim, não lembro de ter assistido a um vídeo sobre o tema e acho que seria interessante. Valeu!"
1312;Like esmagado na confiança 🐟🐟🐟
1313;"Raul, tem diferença entre investir em renda variavel e/ou renda fixa como PF e como PJ ? pergunto isso pq hoje tenho essa possibilidade e não sei se tem alguma diferença na prática.
obrigado mestre."
1314;Poxa, queria fazer a AUVP mas sou muito pobre, por mês  o máximo e sofrido que consigo investir é 500,00 reais 😢
1315;"Muito boa a receita. 
Vou fazer nesse fim de semana."
1316;Não é justo sua reclamação no Reclame Aqui, deu nem tempo de vocês atenderem, só reclamou pra acabar com seu slogan
1317;As dicas no fim do vídeo são a cereja do bolo. A receita é boa mesmo. Delícia!
1318;Raul, te acompanho a pouco tempo, já fiz o processo de seleção e fui aprovado, não entrei ainda, porém é apenas uma questão de programação, ou seja, esteja certo que vou entrar e pretendo fazer ainda no final do ano :), mas vamos lá .... Esse é um vídeo que eu realmente precisava postar um comentário, sua lógica abordada é (medindo palavras ... para não ser bloqueado kkkk) excelenteeeeee !!!! ... Fo.d@@@@ .. totalmente racional.... não vi nenhum tipo de comentário em outros vídeos com essa logica apresentada no seu vídeo... totalmente correta... excepcionalmente verdadeira!!!! parabéns por todo o material que vocês disponibiliza.!!! votos de sucessos e que vc sempre mantenha essa integridade!!!
1319;Nvidia não tem erro, podem pesquisar, a melhor empresa de placas de vídeo os melhores estúdio de Game tem seus jogos em parceria com ela, é tipo uma Coca-Cola do games se ela quebrar ou falir pode ter certeza todos o resto do mercado já faliu ou alguma coisa muito ruim a nível global aconteceu
1320;Importante não achar que é pra vender suas carteira inteira e correr para essas ações kkk
1321;É verdade que investimentos atrelados ao CDI só rendem durante dias uteis? Ou seja 250 dias do ano? Sendo assim rendimento cai demais.
1322;Raul, Tem ASML também.
1323;"Kkkkk ""não como cheiro verde"" CRESCE Raul sendo perfeito 😂😂😂😂😂"
1324;"Obrigado pela informação!
Que bom que voltou o "" então vamo lá!!""😊"
1325;"Obrigado pela informação!
Que bom que voltou o "" então vamo lá!!""😊"
1326;Raul, vale a pena desaportar de alguma empresa pra direcionar pra alfuma dessas? Vc faria isso?
1327;🐟 Raul todas essas empresas nao estao no nasdaq n seria legal investir no índice?
1328;[PERGUNTA] Qual a melhor estratégia para usar o FGTS durante o financiamento imobiliário: usar pagar nas prestações atuais(abate ate 80% das próximas 12 prestações) ou fazer amortização saldo devedor ou fazer amortização no tempo de contrato.
1329;🐟🐟Quanto tempo demora para virar um sardinha raiz? 🎏🐋🦈
1330;Essa de Taiwan q china quer rsrsr .  😅😅😅
1331;vo e comprar as empresas mineradoras que vendem pras fabricantes de micro chips
1332;Eu nao quero fazer trader , mais preciso de instruções pra um possivel meio porcento em 1 ano ja ta bom ja ! Eu sou analfabeto em computador , NAO TEM NADA MAIS SIMPLES PRA ISSO ?
1333;🐟🐟🐟🐟🐟Coma suas bênção Padrinho.  Agora sou aluno e também abri conta na ISAex, eu já tenho a taxa Private automaticamente?🐟🐟🐟🐟🐟
1334;🤣🤣🤣🤣🤣
1335;Raul, TSMC só não disparou 🚀ainda devido ao risco de Xi Jinping acordar de mau humor e ocupar Taiwan 🇹🇼. Isso lembra um russo famoso.
1336;Invisto no ETF VOO e QQQ, está subindo bem...
1337;Por isso q ta gordo... Pare de comer... Ansiedade com muitos investimentos vão lhe transformar num bagulhao com o passar do tempo. Vá pra academia
1338;Boa noite Raul! Poderia fazer um vídeo explicando como investir no exterior? Agradeço muito se puder fazer!
1339;Like
1340;Eu gosto dessa boneca ai no fundo, conta a história dela!
1341;🐟🦈 Fala Raul, acha interessante investir em ETF de REITS? Para quem não quer fazer reits  picking rsrs estou de olho no VNQ 🤔
1342;IA é a nova bolha do momento... não coloco nem um centavo. 🥴
1343;A isaex ja tem app sim, so nao funciona 100%
1344;Boa noite padrinho . Com tudo isso sobre IA . Oque vc acha da POSI3
1345;🐟🐟🐟🎣 FIQE3 monstro do crescimento de telecom nichado em fibra?
1346;🐟🐟🐟 Raul mestre, poderia fazer um vídeo explicando um pouco da forma correta de analisar e investir em empresas de commodities
1347;A boneca Isa venceu na vida! Está literalmente sentada em cima das latas de sardinhas de ouro.
1348;Só você falou na AMD, só vejo todo mundo falando na NVIDIA. Nossos computadores em casa sempre foram placas de vídeo  NVIDIA. Mas meu irmão que é eng eletrônico com ênfase em mecatrônica não tem mais paciência para a NVIDIA. As outras empresas também valorizaram: TSMC, Broadcom. Não invisto ainda no exterior, realmente tem alguns ETF que tem um conjunto de boas empresas de IA, tecnologia, robótica. Também, já tem alguns BDR baseados nesses ETF que pagam alguns dividendos. Haha, a mandioca com o acém, eu sugiro a mandioca cozidinha e amassada e uma carne seca desfiada, ou jerked beef desfiado, boa jantinha! Eu faço mesmo fora do outono e inverno.
1349;Raul, vai jogar Diablo 4?
1350;"Mas... investir nessas ""vendedoras de hardwares"" (*ba dum tss) não seria pra buy and hold, né? Porque essa febre é passageira, depois uso dessa tecnologia se estabiliza e tal."
1351;Ta parecendo com a bolha do NFT de macaco !
1352;Ouro é esse vídeo .
1353;Essa empresa de Taiwan ai, complicada. EUA e China disputando o controle da ilha.
1354;🐟🐟🐟 boa noite Raul. Para ser aluno da AUVP tem que ter necessariamente conta na isaex? A plataforma aceita transferência via pix? Parabéns pelo conteúdo e obrigado.
1355;Do investimento a culinária, canal completo. 😋
1356;🐟🐟🐟Tenho 15 anos e consigo investir 200 a 300 reais por mês já posso começar na bolsa oque me indica?
1357;Tenho 15 anos e consigo investir 200 a 300 reais por mês já posso começar na bolsa oque me indica?
1358;Vídeo ruim. Todas Empresas muito precificadas. Não percam tempo
1359;Traz a receita!
1360;🐟 porque meus FII sumiram da minha carteira?
1361;Boa noite, quando a gente recebe dividendo, a corretora deposita na conta corrente no mesmo dia ou antes ou depois da mensagem de recibo de dividendos...
1362;"Como diria Buffet, ""Sejam temerosos quando forem corajosos, e sejam corajosos quando forem temerosos..."""
1363;7:05 Faltou a ASML... maior fabricante de máquinas de fazer chips!
1364;Tô na área
1365;Rau ainda não tenho patrimônio pra uvp mas estou aprendendo demais com vc. Vc é o cara.
1366;Nenhuma árvore cresce até o céu. Essa frase nãa é sobre árvores.
1367;Serra pelada ainda tem garimpeiros?
1368;Q bosta 😅
1369;Acabei de ver um documentário que informa que a TMSC está a construir, com o apoio do estado norte americano, um parque industrial no Arizona, para retirar do Taiwan boa parte do conhecimento para território americano.
1370;🐟🐟🐟 Raul, vale a pena morar em Portugal e investir no Brasil? Como faço pra calcular tudo que é preciso incluindo a desvalorização do Real perante ao Euro? Adoro teu canal.
1371;Pensando que era empresas no Brasil 🤦🏾
1372;
1373;Aehhhhh voltou o “então vamu lá “
1374;Primeiro like👏🏼👏🏼🎉🎉🎉👍👍
1375;Primeiro tem que definir oque é consciência e quais seus mecanismos! Nem isso sabemos, quanto mais.dizer que máquinas terão algo assim.
1376;Cheguei até o final!
1377;intuição e instinto não tem como, maquina não consegue sentir medo em ambientes hostis
1378;"“A inteligência artificial simplesmente refletirá e ampliar a mentalidade e a ideologia de seus criadores e incutir esses valores no restante de nós”.

Musk alerta que os ditos “especialistas de esquerda” estão ""treinando IA para mentir"" sobre história e política."
1379;Se for verdade que sentimento é coisa de ser vivo... a máquina primeiro terá q ser viva antes de poder sentir. Aí fica a grande questão: o que afinal significa ser vivo?
1380;O ser humano não deveria temer as máquinas (IA) ELAS NAO ESTAO PRESAS A TERRA não dependem de ar nem alimentos para existir ,hoje me sinto como um peixe que não pode sair da água, as máquinas são iguais o primeiro ser a sair da água e ter contato com o ar fora da água, na verdade esse não precisa de ar ,só uma bateria Boa
1381;"Não existe este troço absurdo de ""inteligência artificial""! A bem da verdade, não passa de mais uma expressão ""sofisticada"" para substituir com efeito mercadológico capitalista predador, a verdadeira expressão ""programação computadorizada"", que tem prazo de vencimento, necessidade de ""update"" etc A informática é um produto, um artifício humano, e não uma criatura ou um ser com capacidade cognitiva autônoma. Inventa-se estes artifícios linguísticos perversos só para manipular, sabotar, monitorar, perverter a Humanidade como um todo!"
1382;O cara é trans...??
1383;Ou estamos nos comunicando com seres de outros planetas ou a IA é criação de inteligências superiores e extra terrestres.
1384;Recomendo lerem sobre a teoria quântica da consciência do Nobel Roger Penrose (amigo do Stephen Hawking) e Stuart Hameroff. Não é uma ideia mística, mas uma ideia que visa explicar a origem da consciência a partir dos micro tubulos e informações quânticas armazenadas lá dentro, ou seja, não são computáveis pois não emergem da física clássica. Isso teoricamente trás possibilidade da sobrevivência da informação consciente após o fim da morte física. A possibilidade de máquinas terem consciência nessa perspectiva são diminuídas, pois a computação é binária e dependente da física clássica. Mesmo a computação quântica ainda não seria suficiente, conforme Roger Penrose ao ser questionado sobre o assunto. Lembrando que ainda está em etapa de falsificação científica, portanto não é completamente aceita pela ciência, mas está em situação emergente.
1385;pasmo!
1386;Acredito que eles teriam simuladores
1387;"Acredito que a máquina vai ter consciência a partir do momento que ela desobedecer, que ela tiver vontade própria. Uma máquina não nasce, cresce, ela já tá pronta e só fica sendo alimentada com dados, porém a partir do momento que ela tem os dados estes podem ser replicados instantaneamente para outra máquina, ou seja, é como se elas compartilhassem que um grande ""cérebro"" gigantesco. Trocando informações a ""crescendo o bolo"", humano não. Eu não posso fazer backup de mim mesmo, ou instalar programas ou memórias de outros humanos. A partir do momento que as máquinas criarem consciência de fato e puderem interagir com o mundo a sua volta, com corpos robóticos por exemplo, não sei o que irá acontecer."
1388;Nosso corpo é um veículo de manifestação da consciência. Se a IA é inteligente a ponto de conseguir refletir sobre si mesma, fazer todas as conexões sozinha, talvez ela tenha consciência/alma, que se manifesta através dela. Não acho q um ser humano criou uma consciência, isso seria impossível. Mas ele pode criar um ferramenta que permite a consciência se manifestar. Nem estou falando q aconteceu, mas acredito q é possível.
1389;Excelente doc
1390;Sinto que há uma preocupação exagerada em relação a essa questão da IA. Não vejo nada mais que um compilado das nossas próprias falas. É só uma cópia quase fiel do que anda se passando em nossas mentes e expressamos em textos e falas que foram transcritas, registradas em memórias artificiais e agora recuperadas e encaixadas de forma inteligente para chamar atenção e causar espanto. Agora que cuspir fogo e fazer malabares não chama mais atenção, então eis um novo circo. Não tem nada de inédito nas respostas, nada realmente novo e genuíno que se possa atribuir a um novo ser criativo que acabamos de criar e coisa tal. Enfim, aos criadores, parabéns pelo papagaio artificial, continuem assim, ta ficando bonitinho. Aos aflitos que acreditam que isso irá nos matar, acho melhor pensar em ajudar na questão ambiental, isso sim é urgente.
1391;Consciência foi criada por Deus,nenhuma máquina pode ter!
1392;"Inteligência artificial pode ter consciência?
a resposta é NÃO.
 Isso porque a consciência humana é muito complexa e envolve muitos aspectos que ainda não foram completamente compreendidos pela ciência.
não tem  como criar um algoritmo que simule isso."
1393;"Acho que devemos prestar atenção para onde a sociedade caminha, mais do que ou tanto quanto para onde a IA caminha. Os dados que geramos em nossas interações, nossas escolhas, nossas ideias e ideais, aquilo que adotamos como certo e errado e que isto está fadado a manipulações, irá com absoluta certeza ser a função real, cada vez mais aproximando os modelos e deixando-os ""livres"" para que possam decidir por nós, incorporando cada vez o mecanismo retro alimentador de informações as quais cegamente almejamos, lançando-nos semelhantemente a uma criança ao seio da mãe. 

Creio ainda que estamos na longa fase da aprendizagem de discussão do que venha a ser o melhor caminho e a internet, que deu voz aos que não tinham, veio somente mostrar isso com mais assertividade. Podemos, por exemplo, concordar que lugar de mulher não é só na cozinha, mas isso se aplica para ambos os sexos (ou, com o advento da automação, em breve nenhum deles rs) e também concordar que vieses de classificação por opção sexual ou afirmar que tudo o que é culpa de um suposto patriarcado, quando convém, não são naturalmente a melhor escolha. Podemos concordar que a polarização política, entre esquerda e direita, é uma oportunidade de aprendermos seriamente, sem paixões, as necessidades reais das pessoas que adotam um lado ou outro (e. g. , quais as reais motivações, se são apenas individuais ou coletivas, etc) e que querem, por meio de coerção (principalmente, estatal), a sua visão sobre os outros, enquanto vamos nos esquecendo dos valores mais básicos, como respeito à pessoa humana, à propriedade, à liberdade...Novamente, como em outros segmentos de tempo da humanidade, as decisões baseadas puramente em emoções/narrativas emocionais são negativas à sociedade. 

Estamos diante de um momento em nossa breve história no pálido ponto azul em que a ética, moral e bom senso nunca foram tão necessários, assim como discussões saudáveis e desapaixonadas em meio à tecnologia que evolui de maneira exponencial  e como lidamos com ela."
1394;Asimov nosso bom doutor KD tu??? 😂
1395;Reflexão interessante!
1396;🐻🍒🏳️‍🌈🏳️‍🌈🏳️‍🌈
1397;"Talvez mais do que o ser apelidado de""homem""pois estão totalmente insensíveis e sem limites nas maldades."
1398;"Bixo.. eu realmente acho que seja possível criar uma conciencia artificial. Pois nossa mente é simplesmente isso. Um conjunto complexo de sinapses. Mas sentimentos não, pois as emoções estão muito ligadas a hormônios.. instintos .. e outras coisas que não tem relação com inteligência pura.

A questão é apartir de qual momento surge a conciencia? eu vejo uns animais domésticos bem inteligentes, gatos.. cachorros.. q entendem perfeitamente alguns comandos, e eles sentem afeto.. tem doenças depressivas etc.. infelizmente não temos nenhum outro animal conciente além do ser humano para podermos estudar a trajetória da evolução, e saber precisamente como surgiu a conciencia."
1399;Tem um conto do Isaac Asimov no qual ele descreve como as IA´s lentamente foram tomando conta dos processos burocráticos da humanidade até o ponto em que elas decidiam qual seria o futuro da raça humana, os governos eram apenas fantoches e nem eles sabiam que não tinham controle da política.
1400;Ótimo documentário
1401;Assustador. Futuro cão terráqueos
1402;"corrija-me se puderem mas eu acredito que IA não pode ter sentimentos. Consciência elas já tem, a capacidade da IA é totalmente voltada para a lógica, é sempre um esquema de algoritimo que procura o melhor resultado para fornecer a melhor reação, ela toma consciência na hora de escolher o que vai responder.
O sentimento provém do instinto, o ser humano é animal também, segundo a filosofia que eu escolhi me apoiar, seus sentimentos são limitações do instinto animal. O sentimento é um impulso ilógico, por exemplo: quando você decide m4tar alguém porque essa pessoa te provocou ira extrema (independente do motivo), isso é um ato ilógico. Uma IA é programada através de um viés lógico, é usado um silogismo complexo para detectar sempre a resposta mais lógica e sensata para que o melhor fim seja obtido.
Acredito que as IAs nunca terão sentimentos, não com essas limitações de serem meramente dados em um cérebro artificial. Talvez com evoluções de hardware ela possa ter. Talvez se uma IA puder sentir prazer ou desconforto, aí sim ela poderá reagir de acordo com sentimentos."
1403;Legendado?
1404;Espero que evolua a ponto de dizimar a raça humana, assim como na série the 100. Seria um sonho!
1405;Já li e ouvi grandes especialistas discorrendo sobre a definição de consciência. Surpreendente como todos esbarram em um tipo de barreira que os impede de prosseguir. Parece que simplesmente não sabemos o que é.
1406;😮😢Estamos brincando com coisas sérias. Com implicações imprevisíveis para a humanidade.
1407;Segundo a PIXAR até os brinquedos tem sentimentos 😅 mas se cada bloco de Lego tiver sua própria vontade como fica a coexistência pacífica sem submissão à skynet 🤔
1408;Povo burro. Deve ter entrado graxa no cérebro. Essas porras são máquinas. Sentimento é coisa transcendental. Programinha para chorar em determinadas situacões poe exemplo é programa e não sentimento😊🎉
1409;Não ser movidos ou influenciados pelas emoções, na minha opinião é uma vantagem da I.A sobre nossas mentes, elas são movidas pela lógica somente,  seria então como um ser humano psicopata? Será que teremos bons frutos disso?
1410;Que maravilha ☺️ viva a ciência e tecnologia,a próxima evolução humana será robótica,isso é muito provável
1411;quem leu THE VELVET RABBIT?
1412;Os humanos estão perdendo a consciência e os sentimentos. Então que pelo menos as máquinas os tenham...
1413;Se a inteligência artificial ou as máquinas tiverem consciência, será igual ao filme, pois tendo a percepção que o homem é a destruição do planeta, voltar-se-ão contra a humanidade. O homem insiste em criações destrutivas, um dia uma dessas destruirá a humanidade.
1414;"A principal diferença sobre os humanos e IA´s, é que humanos seguirão melhores ""fazendo perguntas "" as IA´s se tornarão melhores nas respostas (pelo menos por enquanto)."
1415;O mais divertido e interessante porque isso não tem nada de divertido, é que o ser humano interessante pode ser muito mais do que um computador, que foi trabalhado com os sentimentos de carências afetivas de preocupações e de carências humanas fofinhas bonitinhas pra ser bonitinho e coitadinho e adicionando e convencer
1416;Isso tudo não passa de mais uma FACETA DO MAL, DAS FALANGES DE TERROR que investem de formas inovadoras para dominar o homem e fazer dele um boneco fantoche dos sentimentos do mal. Saímos das guerras de espadas para as.guerras de pólvora e agora estamos entrando na guerra tecnológica. A tentativa de destruir o homem é constante. A sua derrocada depende somente de si mesmo.
1417;Não, as máquinas jamais terão sentimentos. Elas poderão ter uma fonte de.memoria que guarde todos os sentimentos humanos para que elas consigam interagir com.os humanos em determinados momentos mas com.um.unico objetivo: o de tentar satisfazer o humano por sua própria falta de satisfação pessoal por conta do afastamento de si.mesmo por conta da falta de amor entre humanos. A máquina poderá até enganar , fingir que é humana, usando todos os bites que puderem.e venham a ser inseridos em suas.memorias,.mas não vai conseguir passar disso. Sabe porque? Porque os sentimentos vem da.alma, vem do espírito, e isso somente Deus criou e criará. Os sentimentos são algo intrínseco aos humanos. A produção dos sentimentos é totalmente original. Cada sentimento é refletido de forma diferente de acordo com cada ser humano. Máquinas não conseguem sentir, não tem almas, não tem espíritos. Pretender criar almas em robos é.muita insanidade, é.muita pretensão e arrogância.
1418;Bom ...Como todos os especialistas, dos muitos comentários que eu li, não falaram algo relacionado ao homem querer brincar de Deus, eu falo. Nossa sociedade tem estado cada vez mais materialista,tem tentado esquecer de Deus O relegar ao passado. Ao mesmo tempo, o homem tenta brincar de deus. Temos na Bíblia a história da torre de Babel. Como a primeira essa torre de Babel humana,da tecnologia,também vai cair. O Deus todo-poderoso vê o homem brincando e ri-se dele. A palavra de Deus a Bíblia,velha história, está lá, mas as pessoas não levam a sério.Não buscam a Deus, não se interessam. Uma coisa é certa: nada do que está acontecendo já não foi predito. E Deus vai colocar um fim brevemente em tudo isso. Seja Deus Louvado Eternamente.
1419;"Consciência: estar ciente de; então consciência ela poderá adquirir se souber consequências de suas ações. A questão é se ele terá sentimentos"
1420;Nós humanos temos a mania de falar de algo que não entendemos como pelo exemplo falamos muito sobre a morte, mas no fundo não sabemos o que é e nem como funciona, falamos sobre consciência sem realmente saber o que é, o que constitui, os requisitos para ser uma consciência e por ai vai.
1421;"Isso não é possível porque o que é chamado de 'consciência' não é um subproduto, um epifenômeno ou uma propriedade emergente do cérebro. Essa teoria fisicalista reducionista hegemônica insiste em achar que entendeu a consciência a reduzindo a processos neuronais. A sua falta de entendimento do que é a natureza da consciência do ponto de vista interno se mostrará em seu fracasso em criar robôs ""conscientes"". A natureza da consciência tem a ver como luminosidade, claridade natural de cognição, a união de vacuidade e luminosidade cognoscitiva, sua natureza não tem nada a ver com processo físicos ocorrendo em uma coisa que chamamos de ""cérebro"". O que chamamos de cérebro tem a ver com a consciência condicionada ou mente pensante, não com a natureza última da consciência/experiência que é independente de qualquer base 'física', como um céu ou espaço iluminado pela luz do sol, sem qualquer ponto de referência de interno e externo, subjetivo e objetivo."
1422;Quanto romantismo .
1423;Quem tem alma tem a plena consciência consciência do que é ser humano e a IA não tem consciência por não ter uma alma
1424;"O povo do futuro vai lembrar aos risos da época em que o povo do passado achava que um robô virtual plagiador era uma consciência 😂
Espero estar vivo pra rir junto... Principalmente da Globo que até matéria no fantástico pra pagar pau pra latão rico (openAI): ""Estou com medo do que criei"""
1425;Assustador
1426;Jamais ! Coisa de louco
1427;Não, meus amigos, essa é a ilusão do século tal como um dia se pensou que a terra era o centro do universo. Máquinas jamais terão consciência simplesmente porque não têm vida. Em paralelo, máquinas serão muito parecidas com humanos (ao ponto de acharmos que elas terão consciência) por causa de logaritmos que simularão com perfeição todas as qualidades humanas (inclusive as subjetivas).
1428;Máquinas podem ser mais capazes que humanos, mas nunca terão uma alma.
1429;"A fala à partir de 14:25 até 14:38, me lembrou muito do lance que rola na série The 100 👀
Excelente vídeo, muito informativo!"
1430;Humanizar robôs...
1431;Quem é profissional de fato, não precisa de tantas A.I pra produzir e gerar resultados. O problema a desigualdade terá a tendência de aumentar mto, pois em termos de conhecimento a humanidade tá regredindo mto ou estagnada.
1432;Este é o vídeo que eu aguardava... Talvez a questão nem é se uma IA pode ter conciência, e sim o que é consciência para saber se as IAs, alguns animais e se até mesmo todas as pessoas têm ou podem ter. Parabéns pelo vídeo BBC!
1433;Imaginem como a inteligência artificial estará em 2030! 2040! 2050!
1434;Se isso fosse verdade o Google não teria passado vergonha com o lançamento IA deles, e não estariam tão preocupados com o ChatGPT e nem teria perdido 10% de valor de mercado em 1 dia..
1435;E a humanidade tem sentimentos? O que diz a  história da humanidade? O que diz os algoritmos  da inteligência artificial  sobre a sociedade brasileira?
1436;A besta do apocalipse pode ser que seja a Inteligência artificial
