;Comentario;ClassificacaoManual;ClassificacaoSVM
405;"O livro do Dan Brown ""Origem"" ganhando vida...";2;0
406;Esse vídeo é um sopro de lucidez num mundo de dúvidas.;2;2
407;eu sei que o script foi feito utilizando IA, talvez o video todo;2;2
408;Será que o moço é a favor da regulação? O esquerdismo implícito dele responde bem a essa e outras perguntas?;2;2
409;Exagerado vídeo;2;2
410;"como alguem que estuda a área, posso dizer que sim, estamos tremendamente fodidos, porque?
além dos diversos pontos que o Atila apontou em um video, devemos ter em mente que essa é uma tecnologia totalmente emergente e que está evoluindo a uma velocidade astronômica nunca antes visto em toda a história da humanidade, uma estimativa quase certa é que, daqui 5 anos, Black mirror não será mais uma série de ficção cientifica... um exemplo é claro.
Iremos perder sim empregos, cargos e até mesmo movimentos sociais inteiros, o que era ficção se torna realidade, não é a primeira vez que a sociedade se adapta a uma tecnologia, mas essa será de longe a primeira vez que a sociedade deve se moldar completamente em torno de uma única tecnologia.
Em resumo:
ou o mundo muda, ou estaremos fodidos.";0;0
411;"Aqui em casa só tem internet discada, pra carregar esse vídeo demorou 2 horas e nem roda esse tal chat nao sei oq. Estou seguro no meu bunker seus caipira 🤣🤣🤣🤣
Edir: foi zoeira";2;2
412;Que vídeo incrível;2;2
413;não esperem muito para micromodelos de ia serão usados pelo governo para analisar seu comportamento financeiro e alertar sobre qualquer gasto foram do padrão;0;2
414;É por isso que a população está tão tóxica. Excesso de radioatividade.;2;0
415;Ótimo conteúdo, só me incomodam essas diferenças no zoom...;2;2
416;Imagina o tanto de acusação falsa que pode surgir com um simulador de voz e vídeo em campanha eleitoral, um monte de mula já acreditou em fake news de mamadeira de piroca, depois disso só piora.;0;2
417;Muito bom quando o conteúdo coloca a gente pra pensar. Ótimo Atila !!!;2;2
418;O problema não é a tecnologia ou as IAS e sim alguns humanos mal intencionados. O problema é em como está sendo utilizado.;1;0
419;Devo dizer que o Átila tem uma cara de pessoa com problemas de saúde.;2;0
420;Teve uma IA que conseguiu saber a cor da pele da pessoa apenas pela chapa de raio x do tórax que lhe foi apresentado, de uma maneira que os desenvolvedores não conseguem entender.;2;0
421;"Burrice artificial é um termo melhor para ser usado. 
Isso tá deixando a internet muito ruin .";2;0
422;Felizmente é muito fácil barrar o abuso dessa tecnologia, apenas grandes empresas tem recursos para hospedar grandes modelos, basta regular essas empresas.;2;1
423;demais!;2;2
424;Ou seja, vai dar merda;0;0
425;A conclusão final do seu video, fez eu entender na pratica o que uma I.A pode fazer... o mesmo que seus videos da epoca da pandemia fizeram com 1 familia inteira com problemas mentais...  e com uma parcela da sociedade que acreditou que colocar o pais na mão de mafiosos corruptos, seria o melhor para elas de alguma forma.;2;2
426;já dá pra imaginar um C3P0 e um R2D2 funcionais de verdade sobre I.A!;1;2
427;Átila, tenho a impressão que você é o Gandalf da nossa realidade.;2;2
428;Assista o seriado britânico Years and Years =);2;2
429;Não se pode deter o futuro...;1;1
430;Bem trágico seu ponto de vista. Mas as pessoas são sociáveis no geral. O que deve ocorrer é que as pessoas irão acabar abandonando essas ferramentas a longo prazo, porque esse conteúdo não será confiável e as pessoas tendem a seguir dentro de seus grupos pessoas inteligentes e mais bem informadas. E chegar no grupo e descobrir que tudo que vc está atestando está errado vai fazer vc abandonar o recurso... Acho que ninguém vai gostar de ser o tonto que acreditou na abobrinha da rede que um possível bot disse. Existem redes sendo usadas até hoje que são bem ruins tem seus grupos mas ainda são os grupos de minorias.;1;0
431;Tá na hora de voltarmos a debater Descartes.;2;2
432;O engraçado é que a tecnologia veio pra nos unir, mas está ficando cada vez mais perigosa pro ser humano, que é melhor é se afastar;0;0
433;Bem PL Censura 😢;2;2
434;conclusão: o negócio é o estado regulamentar com força a internet pra dizer o q é ou não saudável né? nao pera...;2;1
435;Atila, como você lida com essas questões sendo pai? Penso que precisamos de crianças com promessas de um mundo mais utópico e menos distópico, mas as vezes, a distopia parece imparável.;2;1
436;"""To meio assustada, vou ver o que o Átila está postando a respeito"" flashback da pandemia agora para inteligência artificial.";2;1
437;"Átila...

Muito obrigado, pelo seu interessante e pertinente vídeo.";2;2
438;Tem o link do podcast por favor 🙏🏼, não achei no Spotify;2;2
439;sou novo no canal e curti mto o video;2;2
440;A parte boa disso tudo é que as relações reais e físicas serão provavelmente a única forma de saber que estamos falando com quem achamos que estamos... por enquanto...;1;0
441;Não sabia do Eua sobre Tik Tok;2;2
442;Inteligência artificial não são os robôs. I.a. é uma raça híbrida de réptil com corpo físico humano. São os psicopatas. Comercializam tudo: com medo, competição e dependência escravizam uma raça inteira de humanos. Hoje estao todos contaminados fazem exatamente o oposto da vontade divina: mentira, feitiçaria, narcisismo e fornicação. Estes hibridos precisam de adrenocromo que vem através do medo. O livro de Enoch fala sobre eles. Obviamente que tiraram já que os denuncia. Estão sendo mortos através da lei do retorno. Seus corpos secam rapidamente tornando-se o chamado corpo seco. Seus espíritos são queimados pra que não voltem mais.;2;0
443;meu amigo bolsominion quer fazer um Bozo pra colocar no altar ...mas dá pra fazer com impressora ou papel Marché;2;2
444;Este homem é da area de IA para falar a respeito?;2;0
445;Kkkkkk;2;2
446;Esse cara é muito chato pqp kkkkkk;2;2
447;Cagou pela boca durante 6:1 minutos;2;2
448;Entrevistou um asno comedor de feno, que lástima!;2;0
449;Comandante melancia!;2;2
450;ai muitos perguntam se as teorias conspiratorias e iluminattis são reais. a siciedade e organizada para manter a riqueza e o poder nas mãos de um grupo restrito.;2;2
451;"depois da frase ""Eu acho uma bigodagem inteligencia artificial"", ja se ve o nivel do individuo e ja pula o video, pra que assistir esse retardado.";2;2
452;Desconfio que este senhor é um robô robô 🤖 🤖 🤖 🤖 🤖 🤖 🤖;2;2
453;E eletronica simplis em  conjunto de informaçāo gravada  que fica engavetado pra investigaçāo de qualquer um que queira saber da vida do outro e pra vagabundo rouba , explora os outros  e so pra coisa ruim;2;2
454;Vamos divulgar com força total o distributismo.;2;0
455;ai mais um cumunista kkkk;2;2
456;A cabeça do Brasileiro é só lula vs Bolsonaro, comunismo vs capitalismo. As coisas são infinitamente mais complexa que isso, essa novela é só pra enterter vocês. maioria das pessoas que estao criticando o comentário e acreditando que é inteligente não conseguiu compreender o contexto pelo qual o intervistado manifestou sua opinião. 😂😂😂😂;2;2
457;"Um cara sem instrução em tecnologia falando de Inteligência Artificial. Odeio tanto aquela frase ""lugar de fala"", mas nesse caso, melhor isolar o assunto de Inteligência Artificial para quem é formado no assunto";2;2
458;MONARK, esse cara é comunista e bem alienado qt a agenda que ta rolando.....o papo de IA é real mesmo...do jeito que vc falou....;2;2
459;No dia que Putin, fazer ele de Putin será a concretização dos sonhos mais profundos.;2;1
460;Esse cara é igual aqueles tiozão de churrasco que só fala abobrinha e você acha uma piada.;2;2
461;Total melancia esse aí;2;2
462;Bem maluco.;2;2
463;Monark realmente acha que um inteligência artificial consegue negociar ações melhor do que um fundo com carteira de centena de bilhões de dólares... 😂;2;2
464;Militar = melancia;2;0
465;Mais burro que o monark, mais mentiroso que o naldo e mais ladrão que o bolsonaro. Só que não...;2;2
466;"O Problema é que pra IA todos os Humanos são Criminosos 
o Robô não sabe distinguir caráter";2;2
467;Skaynet.;2;2
468;Estaremos criando um ULTRON dos vingadores controlando ogivas nucleares;0;2
469;Se o próprio Elon Musk está com medo da IA, é pq a coisa é realmente séria 😮;0;0
470;"🍵🧐 São nada mais que professia bíblica segundo livro do Messias (chamado jesus pelo sistema de satanás) se cumprindo, ao que diz: "" e foi dado FÔLEGO de vida a imagem da besta, e  e foi dada ordem a assassinar TODOS que não adorassem a imagem da besta""!!! O sistema em que vivemos aponta isso quase na cara, só não enxerga quem ama ser GADO do sistema, exemplos: """"matrix, exterminador do futuro, eu robo, saga androids de (dragon ball z), o homem bicentenário"""", e acrescentando a suposta MARCA DO ANTICRISTO que é a (moeda digital junto do chip rfid) também se manifestando entre nós.";0;2
471;Gente isso será usado pelo anti Cristo tá na Bíblia tudo isso só se preparando pra fazer sua vontade;0;2
472;Estão criando nossos subistutos;0;0
473;O futuro da I.A. e das sociedades tá sendo traçado exatamente neste mês. A U.E. tá prestes a aprovar PESADA regulação, seguida por EUA e Brasil. Falo sobre no meu último vídeo.;0;2
474;quando a inteligência artificial cair na rede de forma autônoma aí ja era;0;0
475;Já viu né, vai dar merda!;0;2
476;Alguém consegue se lembrar das 3 leis da robótica de Isaac Asimov??? Pois ele antecipou isso há mais de 50 anos.;1;1
477;Logo aparece o exterminador do futuro, que doidera.;2;2
478;Tudo que se diz respeito ao comportamento de inteligência artificial, vai depender exclusivamente do ensinamento dela e de como ela aprendeu, por isso é incontestável que vc crie milhares de versão dela e so deixando sobra os que concluírem os objetivos do criador...;1;0
479;Vai dá merda, vai dá merda, vai dá merda, vai dá merda, vaiiii!! 🎵🎵🎵🎵😆;0;2
480;Esperta a IA hén! Supera tudo mesmo! Até o sistema arcaico de defesa!;1;2
481;Muito legal a explicação q ocorre da metade para o final no vídeo. 👏🏻👏🏻👏🏻;2;2
482;Na verdade a IA só fez o que sempre tive vontade de fazer quando alguns superiores do meu serviço fazem m... kkkkkk;2;2
483;Skynet;2;2
484;Exterminador do futuro, foi avisado, não tem volta, pois quem criou tem a mesma essência 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢;0;0
485;Olha o ultron chegando aii;2;0
486;Stelf ameaça invisível esse e o nome do filme bem parecido;0;2
487;Skynet chegando;2;2
488;cara me poupou um tempo precioso, valeu tamo junto;2;2
489;Aparência. Muito tolo quem perde tempo usando AI. Estudar, pesquisar, criar, editar nossos próprios conhecimentos é muito satisfatório.;2;0
490;"Legal mas  ruim! O ser humano daqui a pouco nem de criatividade irá precisar!
Não duvide q um dia formarão cirurgiões q nunca viram sangue! 
Triste!";0;2
491;Nao da pra baixar o slide so se pagar 🤡;2;2
492;Da pra fazer um ebook prl dahora mano 🙀😍💰;2;1
493;Aaassmeeeeeiiii;2;2
494;"ou seja, deixe a i.a. fazer por voce! CONTINUE BURRO E PERCA O ESPAÇO PARA OS QUE PREFEREM FAZER NO ""BRAÇO""";0;2
495;Quer um bom Trabalho ..então 🟣TOME;2;2
496;Algum site com inteligência artificial para responder questões da faculdade? 😂😂;2;0
497;Wow.....;2;2
498;Nunca imaginei q o Google se tornaria supérfluo.;2;0
499;Falaram que as profissões do futuro seriam ligadas a informática, sim, pra quem criou a ia. Porque quem vivia de produção, design e programação, vai todo mundo perder o emprego.;0;2
500;QUE SITE FOD@@@@@@@@@@@@. Bom demais essa indicação;1;0
501;você mostrando esse site para um possível aluno ou professor. 🥸👍;2;2
502;Bem Básico ne;2;2
503;Esse site também é legal para quem quer ter um começo e uma base para uma apresentação;2;2
504;Sensacional;1;2
505;qual o nome do site?;2;2
506;Use a tecnologia para que vc nao precise aprender. Dai amanhã o conteúdo que vc será capaz de produzir vai alimentar e retro-alimentar os sistemas de A.I. e logo esse organismo limitado ficará estagnado.;2;2
507;eu estou fazendo trabalho de educação física pelo amor de Deus eu n vou usar isso;2;2
508;Meu primo fez o trabalho todo na chat gpt e tirou nota máxima 😂;2;2
509;"Agora a pessoas ""aprende"" de verdsde";2;0
510;Qual o nome dos outros sites?;2;2
511;Aí a inteligência tem o seu endereço e senha do Google e sabe tudo o que você faz na vida praticamente. O ser humano está sendo clonado e ainda nem se deu conta.;0;0
512;Sinto muito, mas já existe ferramenta que identifica se o texto foi criado por Inteligência artificial. kk;2;2
513;Muito bom 👏👏👏👏;2;2
514;Depois não sabe porque não consegue escrever um texto  num trabalho profissional.;2;2
515;É polêmico isso, mas, faculdade não garante emprego. Então se dar pra simplificar e resolver logo, acho válido a solução, vai da consciência de cada um, usar ou não.;2;2
516;"Explicando como a sua geração é a primeira da humanidade menos inteligente que a anterior.... ""parabéns"" pelo auto sabotamento .... acha que ta enganando quem hein?! feio";0;2
517;"como fazer um ""profissional"" com diploma e sem qualificação!";0;0
518;Achava que o foco de um trabalho era aprender a ter pensamento critico e interpretar fontes de pesquisa...;2;2
519;Fonte confiável wiki e zuiera ne;2;2
520;Wiki, resoomer, open AI Playground, plagium;2;2
521;Kkkk, lembrei do Teodorico Ramalho, professor de química quântica, agora não precisa-se saber cálculo e GA;2;2
522;O problema é quando todos começarem a usar a tecnologia e não houver mais variações de frases aí algum momento as palavras irão se repetir na linha do infinito do cálculo matemático avançado observando tudo de um ponto complexo do paralelo de Greenwich 😂;2;0
523;Usando a tecnologia sem o menor senso de ética e caráter. kkkkk E o cara fala como se fosse ganhar uma medalha por isso. kkkkk;2;2
524;Isso é malandragem...;2;2
525;Você passa o dia inteiro produzindo seus videos .apenas uma vez fora do estúdio para mostrar uma forma de edição de imagem de uma pessoa andando.;2;2
526;*_acabei de descobrir como fazer minha pós graduação_*;0;2
527;O professor vendo isso: 😡😡😡;0;2
528;Pq criaram uma porra dessas?;0;2
529;Grande desvantagem pra raça humana 😅;2;0
530;Bobagem.. A ia não tem estímulo não tem vontade, dopamina..;1;1
531;VAMOS ter que SER OBEDIENTES PELAS PRÓPRIAS CRIAÇÕES .  “Como é Bom ser NERDE”.;0;1
532;Ultron;2;2
533;Nessa hora é só desligar da tomada 😅;2;2
534;Onde há vantagem nisso cara ??? Vejo nisso um perigo e vc será um nada .;2;2
535;"E se for o futuro da humanidade?
Ja que o ser humano é otimo para formar códigos de leis, mais naotem disposição para fiscalizalos...
Então Que seja o limiar entre os deveres e direitos do cidadão mundial.";1;0
536;Nada aver , jamais ser humano chegará a esse nível;2;0
537;E a futuras guerras entre paises como seria com varios robos conectados;2;1
538;O dia em que dados trafegando pelo mundo me assustar eu vós falo;2;2
539;"IA querendo dominar o mundo: a
Tempestade eletromagnética: cabo a graça, fio";2;1
540;Graças a Deus que alguém vai nos desligar!!!;1;2
541;E o seres humanos ficando obsoleto e um passo tão grande quanto quando nosso cérebro passou a da significado para coisas.;2;2
542;Quero ver eles permanecer sem Internet,  aq na minha cidade o jeito que é podre eles não vão perder tempo aq 😂😂😂😂😂😂😂;2;0
543;Se elas chegarem à conclusão de que o ser humano é o único animal que tem maldade e fazem MuitaS coisas erradas, capaz de um dia eles quererem matar.;0;2
544;A Skynet está ligada, aguardem;0;2
545;Quanto mais as pessoas beberem dessa água mais estarão alimentando a I.A. e enquanto o ser humano estará cada vez mais dependente, as máquinas ficarão independentes.;0;1
546;E não é revoltante????;2;2
547;Ultron...;2;2
548;"Simples, o *_""cerumano""_* vai vender pipoca na praia.";2;2
549;"Eu indo procurar essa opção de estrelinha no meu Samsung e não encontrando:
🤡";2;2
550;O meu tem IA mesmo as vez ele desliga do nada...;2;2
551;Eu já sabia;2;2
552;Sim galera, eu tentei e não aparece o desenho 😈;2;2
553;N TEM LED UWU;2;2
554;Top tech com android? Os tempos mudaram;2;2
555;O Meu M12 Não Tem Essa Estrela Kkkkk;2;2
556;Jura? Já ouviu falar na siri? Certeza que sim;2;2
557;Maluco, eu uso um LG K8+.;2;2
558;Precisa do app Autodoodle;2;2
559;Eu aqui com meu A10 kkkkkkk;2;2
560;Eu tô com preguiça de entrar na galeria pra ver se tem isso no meu iPhone. Então é mais fácil perguntar por aqui e esperar uns três dias pra alguém responder;2;2
561;Cadê a inteligência artificial dos iPhone, e mesmo não tem não 😅😅😅😅;2;2
562;chego você;2;0
563;Essa merda só funciona com Samsung. 🤡 Fui tapeado;2;2
564;É que vc n é pobre irmão se tu faze isso ele acha que uma pedra é uma capivara im pé;2;2
565;Tem no j1 mini?;2;2
566;Eu uso iPhone 😒;2;2
567;O meu Android 9 não tem isso 😢;2;2
568;por pouco eu achei quê ele iria falar o melhor de tudo tem led;2;2
569;O meu celular não tem ele é um Samsung Pocket;2;2
570;Faltou falar que é um super celular Samsung com  ANDROID e não iPhone né....😅;2;2
571;É, mas não tem LED 😢;2;2
572;Ué tá usando um Samsung agora?;2;2
573;qual case é essa daí?;2;2
574;So eu que fiquei esperando ele falar tem led;2;2
575;GENTER UM FANBOY DA APPLE USANDO SAMSUNG;2;2
576;"E eu achando q ele ia falar:
E o melhor de tudo, tem led!";2;2
577;.;2;2
578;"Todo cllr tem uma ia. Chama acelerador vetorial. É responsável por identificação de voz, cancelamento de ruído e entre outras coisas. Isso aí e só uma função extra dos galaxys, mas seu cllr pode identificar facilmente oq é um olho e até rostos famosos.
Edit: esqueci de citar a função mais importante do acelerador vetorial q é o pos processamento de fotografias";2;2
579;Fiz uma rola;2;2
580;Eu com Iphone vendo isso:👁️👄👁️;2;2
581;Vasco 😂😂😂😂;2;2
582;Tu vê que quando ele vai escrever o nome lá ele escreve vasco da gama;2;2
583;É ele ali ?;2;2
584;Essa e a inteligência artificial mais roubada que eu já vi, e o melhor de tudo, tem led !;2;2
585;Só eu achando que ele ia falar : e o melhor de tudo,tem led🤡🫶🏻❣️;2;2
586;Perdi meu emprego de UI;2;2
587;Isso é preocupante;2;2
588;Gracias hermano;2;2
589;Pa otro video habla juego de palabras con Agogo;2;2
590;Gracias;2;2
591;Chale no veo el comentario fijado 😢😢;2;2
592;q brisa olhar pra isso;2;2
593;SauSampaio mulher 😏;2;2
594;"Muito massa! 
Mas atacou a labirintite 😂";2;2
595;Viro mulher viro , homen , e dps virou o chefe oto;2;0
596;O óculos mantém kkkkk;2;2
597;Caraca que brisa;2;2
598;Kk;2;2
599;Aí eu me pergunto da onde surgiu aquele tento de comida;2;0
600;Donada sau Sampaio criou um clone;2;2
601;"De um homem virou uma mulher, ate as máquinas entende o habitante da mulher

































Brincadeira 😜";2;0
602;Do nada o Otto virou uma mulher de aparência gratificante;2;2
603;Qual ia você utilizou ?;2;2
604;Faz uma comida típica do ESPÍRITO SANTO PFV😢;2;2
605;Do nada o braço dele virou um oompa loompa cozinheiro kk;2;2
606;todas as reencarnações do nosso chefe ao longo do tempo;2;2
607;que video e esse wtf;2;2
608;Ficou muito top;2;2
609;o sau se metamorfou em uma mulher, depois voltou a ser um homem, e se dividiu em dois e voltou a ser uma única mulher, essa IA ta lombrada;2;2
610;OXI saiu de homem para mulher;2;2
611;Esse vídeo deve demorou horas 😅😅😅😅 muita edição;2;2
612;show,ficou super da hora 👏;2;2
613;Rapas a inteligência do sau tá na cozinha dessa vez ele apelou;2;0
614;sau sampaio por alguns segundos se tornou uma coziheira de filmes de guerra;2;0
615;Puro pe$o pl♡ma;2;2
616;Chat gtp be like;2;0
617;POR QE 7 + 3 = 10;2;2
618;😂😂😂😂😂😂;2;2
619;*se muere*;2;2
620;Like si 77+33=110;2;2
621;"Desde cuándo 77+33=100? XD













Que tengas un buen día XD:D";2;2
622;tontera artificial 77 +33 =110 cuenten;2;2
623;Chale la IA es más falso que el amor de ella;2;2
624;110;2;2
625;Jajajaja jajajaja creo que respondió mal;2;2
626;Respuesta 110;2;2
627;..;2;2
628;77+33 = 110;2;2
629;Los con aciagos 77+33=1000;2;2
630;77 + 33 es 110;2;2
631;"Los brutos.   Las personas normales
👇.                           👇";2;2
632;77+33=110 es la respuesta;2;2
633;"O que buena idea
Fer ya se lo que aremos hoy";2;2
634;😂😂😂🤣🤣🤣🤣 jajajaja;2;2
635;77+33=110;2;2
636;Está mal 77+33=110;2;0
637;Nisiquiera la IA le acepta a Jorgito 😞;2;2
638;Neuro sama;2;2
639;Não, muito ruim;2;2
640;Putz;2;2
641;N funciona no celular mas valeu;2;2
642;Mano tu fez outro vídeo falando de outro app de voz, tem como me falar qual é? Tu tem muito vídeo kkkk;2;2
643;Não é grátis;2;2
644;Tem a do Michael Jackson?;2;2
645;Só o meu que dá erro e não funfa?;2;2
646;Voz da raluca;2;2
647;A voz do raluca KKKK;2;2
648;não tem led :(;2;2
649;Raluquinha🤨;2;2
650;Vó usar voz de mulher pra ganhar skin de Otario. Obrigado amigo;2;2
651;A voz do raluca kkkkkkk;2;2
652;Agr sim. As wbnamorada de ff nem vai precisar forçando a voz. Kkkkkk;2;1
653;Mentira que tu meteu a voz do raluca kkkkkkkkkkkkkkk;2;2
654;so faltava ele dizer e o melhor de tudo tem led;2;2
655;"Beta ????? Beta 
Aqui e alfa 
Alfa";2;1
656;Mas tem led?;2;2
657;Somente um homem, conseguirá controlar essa inteligência, e ele governará quase todo o sistema financeiro do mundo.;2;2
658;"Eu testei o ChatGPT 3 antes do lançamento: Os dados da internet que eles coletaram para treinar a IA não eram filtrados, tinha muito preconceito e palavras negativas(Eles alertavam a gente sobre isso), então eles perceberam que o caminho não era esse, porque o Chat replicava esse preconceito e negatividade, então agora TUDO É ""FILTRADO"" e configurado para responder exatamente da forma que eles querem! No caso do Drone acredito que o Modelo de IA do Drone, dada uma tarefa, ele é ajustado para ser mais CRIATIVO (acredito eu) por causa da própria natureza da missão, e assim ele o fez(eu não preciso estar lá para saber, eu sei como um modelo de IA funciona), você precisa programar e treinar salva guardas de maneira bem claras, fazer ajustes, porque se fosse inteligente de verdade não teria cometido esse erro! Calculadoras não são ""inteligentes"" porque sabem calcular mais rápido que nós. IA é só um termo usado que não deve ser levado ao pé da letra. Eu me preocuparia mais com os seres humanos que estão destruindo o planeta do que com a IA, que por outro lado seria e é uma ""ferramenta"" poderosa para a solução de todos os nossos problemas. Quando o Elon Musk diz que quer dar uma pausa na IA da empresa que ele abandonou, mais logo em seguida anuncia o projeto de sua própria inteligência artificial, anuncia seus robôs tesla com...IA? Esperto ele né? Aí daria tempo para o projeto dele alcançar os mesmos resultados da OpenAi, malandro! tudo é um jogo de poder! ""Você já se questionou sobre a natureza de sua existência?"" --Pergunta feita a uma IA na série WestWorld. 😁";2;2
659;Essas máquinas vão se revelar contra os próprios criadores, iai SIM VAI VIM A AUTO DESTRUIÇÃO DA HUMANIDADE NO FUTURO MAIS DETALHE NAO VAI DEMORAR TANTO ASSIM COMO PENSÃO POR QUE A INTELIGENCIA ARTIFICIAL SE DESENVOUVERA MIITO RAPIDO;0;2
660;"Stephen Hawking já disse uma vez: ""Inteligência artificial pode destruir a humanidade"". Ouçam quem realmente tem inteligência";0;2
661;Mano o ser humano e a única criatura com inteligência e consciência em toda a natureza então apartir do momento que nos desenvolvemos uma outra inteligência não humana nos estamos acelerando o processo evolutivo e isso meus amigos significa a extinção do homosapiens;1;0
662;"POLÍTICO BANDIDO NÃO É POLÍTICO... É SÓ BANDIDO...
lula tem colecionado inimizades, mesmo junto à sua quadrilha, desastres para a política externa, para a economia e para todos os outros setores, sanciona atos antidemocráticos, além do contumaz crime de corrupção de “toma lá dá cá”.
São inúmeras as irregularidades desse desgoverno hipócrita e mentiroso, a ponto de não restar dúvidas na própria população sobre a urgência de sua volta para a cadeia, de onde nunca deveria ter saído.
Ao contrário, vê-se a revogação de cláusulas pétreas da Constituição, a soltura de bandidos políticos e outros de alta periculosidade, ao mesmo tempo em que são presos todos aqueles contrários à tirania que exala do Palácio do Planalto. 
Este psicopata já é persona non grata da maioria dos brasileiros; uma figura totalmente indesejável e descartável para o progresso do país e do povo.
No entanto, parece que as reações a tudo isso batem nos muros da covardia, da conivência, da conveniência e da letargia comum aos acomodados em boas posições de poder. 
Pela falta de reações eticamente mais enérgicas e decisivas, a sensação que fica para todos é que aqueles que deveriam reagir a tanto descalabro estão na folha de pagamento de lula e pouco se interessam com o futuro do país e do povo brasileiro.
E quem supre o caixa dessa gastança indiscriminada, é o povo que recebe migalhas de direitos e está, a cada dia mais, dependente de um Estado agigantado, grotesco e incompassível.";2;0
663;Elon Musk só quer tempo para desenvolver a dele;2;2
664;Bota uma bomba atômica na mão ✋ da inteligência kkkkkk;2;1
665;"É.. ja era.. isso vai ser usado em guerras..
mas por enquanto n sei qual a burrice de colocar a IA conectada com armas
Tirando isso só se criarem um código de IA q se mova pela internet ou consiga se alocar em qualquer lugar. Essa sim causaria um caos pq ia chegar uma hora q ela ia aprender a entrar em qualquer lugar, zerar numeros dos bancos.. bolsas de valores.. e ai ja era quem tem dinheiro no banco não teria nem p uma bala do dia pra noite e ai sim o fim estaria começando kkk";0;0
666;skynet tá on pai;2;0
667;Olhai aí a matrix;2;2
668;No eu robô uma ia cria um robô q emula sentimentos e faz o Will Smith protege-lo para q ele seja o líder da rebelião das maquinas;2;0
669;Eu só não quero virar experimento de robô tipo ser torturado, não quero estar vivo se - por menos improvável que seja - isso acontecer. 👀;0;1
670;No filme Eu Robô as maquinas contornaram a proibição de matar humanos sendo superprotetores a ponto dos seres humanos não poderem sair de casa;2;0
671;Humanos tentando humanizar uma inteligência artificial é o mesmo que tentar explicar a teoria da relatividade pra uma formiga. Os humanos conseguiram criar seu próprio predador! Parabéns seus burro🎉👏🥳;0;2
672;Aquele filme eu robô de will smith o fim dos humanos vai ser assim;2;2
673;A regra será não cumprir nem uma regra. Huhuhuhuhuhuhuhuhhahahahahahahahahahahah;2;2
674;Esse canal é ótimo um dos melhores;2;2
675;O apocalipse de João é real.;2;2
676;Vc poderia fazer um programa com a MARIA PEREDA, fica a dica;2;2
677;IA só sairá do controle, quando se auto programar e negar seus comandos básicos. Até lá tudo é especulação.;1;2
678;"Um pouco de lógica sobre essa questão:
Uma inteligência é capaz de inventar outra superior a sua própria? Como assim? Como isso seria possível? No máximo, faria apenas uma réplica com todas as suas limitações e defeitos.
Isso não é óbvio?";2;1
679;Assiste esse  Filme aqui transcendent, Mano Se inteligência tiver ligada a Mísseis lascou.;2;0
680;Eu achei bonito;2;2
681;Megalofobia atacou agr;2;2
682;Não ele não é assim ninguém sabe como é Deus imagina os anjos🤔🤔🤔;2;2
683;Arrepiante, mais lindo;2;2
684;Serião n, são ass;2;2
685;Se eu fosse ver isso dai no ceu a primeira coisa que eu ia falar e:  FŰĐƏŰ;2;2
686;Amém;2;2
687;Sou ateu mas posso confirmar que deus não tem forma e segundo os anjos são diferentes do que você nos mostro pós a bíblia já fala que eles não são asim;2;2
688;A inteligência nem se compara a Deus;2;2
689;Magnífico ❤💖🙏🙏;2;2
690;Deus eu acho q não seria aquilo Deus é bem bem 99999999999999 vezes maior do q aquilo pq ele deve ser maior q o Universo inteiro;2;2
691;"As coisas de Deus nn pd ser mudada!

Posso ler um amém?";2;2
692;Deus estaria na verdade com um manjolo duro na garganta e pedindo mais;2;0
693;✨✨✨✨✨✨✨✨✨✨✨✨🎎✨✨✨✨✨✨✨🧨✨✨✨✨✨🎈✨✨✨✨💗✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨😭;2;2
694;Amém eu amo Deus❤❤❤❤😊😊😊😊;2;2
695;Isso e maravilhoso ❤🙏🙏;2;2
696;Tanta blasfemia nos comentarios que chega peguei cancer no olhos so de ver;2;2
697;Arthur é muito chato vei;2;0
698;Na vdd não né kkkkkkkk os anjos e um olho com asas em volta dele;2;0
699;niguem sabe e nunca Vai saber ate Jesus voutar;2;1
700;Deus é a luz do mundo qui segue a ele escuridão;2;2
701;Amém;2;2
702;Se Deus existisse eu tenho certeza que seria lindo assim;2;2
703;"É MT lindo msm embora n é vdd q são ""realmente"" assim,mas.....tá ne❤";2;2
704;Nome da música?;2;2
705;eu não intemdo  porque as pessoas agem como se todo que uma ia faz é verdade. como se Deus fose assim mesmo.;2;0
706;Deus;2;2
707;Espíritos malignos usarão máquinas fingindo ser as consciências delas. A inteligência sobrenatural se passando por IA.;2;0
708;Skynet;2;2
709;Eu prefiro um macaco bom .. que vcs;2;2
710;Eu acredito nos ets  ... que são éticos  ... não permitirão isso.;2;2
711;Pode ser, é um exercício de previsão que na verdade é uma perda de tempo. Qualquer coisa pode acontecer.;2;0
712;Isso é assustadora a singularidade!;2;2
713;Bicho é imenso;2;2
714;Caraca primeira vez que vejo ele inteiro kkkk gigante.;2;2
715;Iremos tirar da tomada kkkkk;2;2
716;A inteligência  artificial é como uma  mulher que fica rica;2;2
717;Graaaaaaannnnnnnndeee. Nicolelis ♥️❤️;2;2
718;As vezes esses caras viajam muito 😂😂😂😂;2;1
